Tissue,Group,Pathway,score
Adipose tissue,Secretory,Apoptosis,55.73142857142857
Adipose tissue,Secretory,Mitochondrial dynamics and surveillance,52.26538461538462
Adipose tissue,Secretory,Proteases,20.310714285714287
Adipose tissue,Secretory,Protein homeostasis,35.51764705882353
Adipose tissue,Secretory,"Protein import, sorting and homeostasis",42.22790697674419
Adipose tissue,Secretory,CI assembly factors,18.45
Adipose tissue,Secretory,Complex I,1930.390909090909
Adipose tissue,Secretory,OXPHOS assembly factors,25.644117647058824
Adipose tissue,Secretory,OXPHOS,1801.3828402366864
Adipose tissue,Secretory,mtDNA nucleoid,20.927272727272726
Adipose tissue,Secretory,mtDNA maintenance,14.790322580645162
Adipose tissue,Secretory,Mitochondrial central dogma,24.170995670995673
Adipose tissue,Secretory,Nucleotide metabolism,47.0875
Adipose tissue,Secretory,Nucleotide synthesis and processing,50.24583333333334
Adipose tissue,Secretory,Metabolism,146.6318872017353
Adipose tissue,Secretory,Type II fatty acid synthesis,18.244444444444444
Adipose tissue,Secretory,CI subunits,2886.361363636365
Adipose tissue,Secretory,Fe-S cluster biosynthesis,29.72608695652174
Adipose tissue,Secretory,OXPHOS subunits,2968.3264705882357
Adipose tissue,Secretory,Metals and cofactors,397.5459016393444
Adipose tissue,Secretory,Lipid metabolism,59.989430894308946
Adipose tissue,Secretory,Pyruvate metabolism,60.19375
Adipose tissue,Secretory,Carbohydrate metabolism,47.652054794520545
Adipose tissue,Secretory,Malate-aspartate shuttle,27.5
Adipose tissue,Secretory,Urea cycle,2.9857142857142853
Adipose tissue,Secretory,SLC25A family,33.988235294117644
Adipose tissue,Secretory,EF hand proteins,26.581818181818182
Adipose tissue,Secretory,Calcium homeostasis,56.34166666666667
Adipose tissue,Secretory,Small molecule transport,31.714117647058824
Adipose tissue,Secretory,Signaling,50.34166666666666
Adipose tissue,Secretory,Amino acid metabolism,41.867777777777775
Adipose tissue,Secretory,Cytochrome C,50.3
Adipose tissue,Secretory,Heme synthesis and processing,11.16875
Adipose tissue,Secretory,Mitochondrial permeability transition pore,100.6
Adipose tissue,Secretory,Nucleotide import,62.19
Adipose tissue,Secretory,Calcium uniporter,14.7
Adipose tissue,Secretory,Calcium cycle,46.22222222222222
Adipose tissue,Secretory,mtDNA replication,14.514285714285714
Adipose tissue,Secretory,mtDNA repair,17.522222222222222
Adipose tissue,Secretory,Fatty acid oxidation,70.69772727272728
Adipose tissue,Secretory,Protein import and sorting,44.8
Adipose tissue,Secretory,TIM22 carrier pathway,8.766666666666666
Adipose tissue,Secretory,Phospholipid metabolism,49.88260869565217
Adipose tissue,Secretory,Complex IV,1490.9568627450979
Adipose tissue,Secretory,CIV assembly factors,28.36
Adipose tissue,Secretory,Polycistronic mtRNA processing,20.146153846153847
Adipose tissue,Secretory,mtRNA metabolism,16.628947368421052
Adipose tissue,Secretory,Intramitochondrial membrane interactions,22.033333333333335
Adipose tissue,Secretory,Lysine metabolism,87.10625
Adipose tissue,Secretory,ROS and glutathione metabolism,185.5074074074074
Adipose tissue,Secretory,Xenobiotic metabolism,119.21739130434783
Adipose tissue,Secretory,Detoxification,130.50392156862745
Adipose tissue,Secretory,Preprotein cleavage,40.3625
Adipose tissue,Secretory,CIII subunits,1727.6300000000003
Adipose tissue,Secretory,Complex III,1085.8937500000002
Adipose tissue,Secretory,CIII assembly factors,16.333333333333336
Adipose tissue,Secretory,mt-tRNA synthetases,14.809090909090909
Adipose tissue,Secretory,Translation,29.04193548387097
Adipose tissue,Secretory,Electron carriers,1119.6933333333334
Adipose tissue,Secretory,"Q-linked reactions, other",35.22727272727273
Adipose tissue,Secretory,Choline and betaine metabolism,46.17142857142857
Adipose tissue,Secretory,Glycine metabolism,37.233333333333334
Adipose tissue,Secretory,Folate and 1-C metabolism,18.695238095238096
Adipose tissue,Secretory,Vitamin metabolism,27.46530612244898
Adipose tissue,Secretory,Vitamin D metabolism,3.3
Adipose tissue,Secretory,Heme-containing proteins,2991.146153846154
Adipose tissue,Secretory,Fe-S-containing proteins,37.86774193548387
Adipose tissue,Secretory,Vitamin C metabolism,36.1
Adipose tissue,Secretory,TOM,108.36666666666667
Adipose tissue,Secretory,Cardiolipin synthesis,45.46875
Adipose tissue,Secretory,mt-rRNA modifications,15.772222222222222
Adipose tissue,Secretory,Mitochondrial ribosome assembly,14.4
Adipose tissue,Secretory,mtRNA granules,15.760714285714286
Adipose tissue,Secretory,mt-tRNA modifications,12.204545454545455
Adipose tissue,Secretory,Mitochondrial ribosome,37.21084337349397
Adipose tissue,Secretory,Mitophagy,87.43571428571428
Adipose tissue,Secretory,Autophagy,73.32222222222222
Adipose tissue,Secretory,GABA metabolism,35.028571428571425
Adipose tissue,Secretory,Proline metabolism,32.733333333333334
Adipose tissue,Secretory,Gluconeogenesis,48.577777777777776
Adipose tissue,Secretory,TCA-associated,31.433333333333334
Adipose tissue,Secretory,TCA cycle,71.605
Adipose tissue,Secretory,Fission,28.153333333333332
Adipose tissue,Secretory,Cholesterol-associated,51.75
Adipose tissue,Secretory,Coenzyme A metabolism,12.7
Adipose tissue,Secretory,Catechol metabolism,99.96666666666667
Adipose tissue,Secretory,cAMP-PKA signaling,33.766666666666666
Adipose tissue,Secretory,"Cholesterol, bile acid, steroid synthesis",49.43571428571429
Adipose tissue,Secretory,Branched-chain amino acid metabolism,58.024
Adipose tissue,Secretory,Selenoproteins,246.67999999999998
Adipose tissue,Secretory,Complex II,58.7375
Adipose tissue,Secretory,CII subunits,101.375
Adipose tissue,Secretory,Ketone metabolism,60.1875
Adipose tissue,Secretory,TIM23 presequence pathway,45.233333333333334
Adipose tissue,Secretory,Translation factors,30.25
Adipose tissue,Secretory,Copper metabolism,65.62857142857142
Adipose tissue,Secretory,mtRNA stability and decay,23.04705882352941
Adipose tissue,Secretory,Biotin utilizing proteins,67.1
Adipose tissue,Secretory,Chaperones,53.89375
Adipose tissue,Secretory,Branched-chain amino acid dehydrogenase complex,35.083333333333336
Adipose tissue,Secretory,Coenzyme Q metabolism,17.446153846153848
Adipose tissue,Secretory,Immune response,105.96000000000001
Adipose tissue,Secretory,NAD biosynthesis and metabolism,11.842857142857142
Adipose tissue,Secretory,Glycine cleavage system,35.125
Adipose tissue,Secretory,Complex V,3188.665384615384
Adipose tissue,Secretory,CV subunits,3942.809523809524
Adipose tissue,Secretory,Transcription,16.25
Adipose tissue,Secretory,Amidoxime reducing complex,160.025
Adipose tissue,Secretory,SAM,30.666666666666668
Adipose tissue,Secretory,Respirasome assembly,93.125
Adipose tissue,Secretory,mtDNA modifications,7.5
Adipose tissue,Secretory,ABC transporters,14.7875
Adipose tissue,Secretory,Sulfur metabolism,25.818181818181817
Adipose tissue,Secretory,Trafficking,20.3
Adipose tissue,Secretory,Itaconate metabolism,44.266666666666666
Adipose tissue,Secretory,Cytochromes,4101.975
Adipose tissue,Secretory,fMet processing,3.666666666666667
Adipose tissue,Secretory,Import motor,14.55
Adipose tissue,Secretory,Organelle contact sites,36.05
Adipose tissue,Secretory,MICOS complex,26.114285714285714
Adipose tissue,Secretory,Cristae formation,91.3
Adipose tissue,Secretory,Sideroflexins,8.8
Adipose tissue,Secretory,Serine metabolism,10.76
Adipose tissue,Secretory,mt-mRNA modifications,13.975
Adipose tissue,Secretory,Vitamin B6 metabolism,20.7
Adipose tissue,Secretory,Fusion,27.2
Adipose tissue,Secretory,Carnitine synthesis and transport,13.683333333333334
Adipose tissue,Secretory,Carnitine shuttle,14.06
