"Gene","Cerebrum","Cerebellum","Brainstem","Spinal cord","Kidney","Liver","Heart","Skeletal muscle","Adipose","Small intestine","Large intestine","Stomach","Placenta","Testis"
"Cyc1",19952623149.6888,12589254117.9417,25118864315.0958,15848931924.6111,15848931924.6111,1e+10,25118864315.0958,6309573444.80194,12589254117.9417,15848931924.6111,15848931924.6111,1e+10,1e+10,6309573444.80194
"Pdha1",12589254117.9417,3981071705.53497,1e+10,1e+10,19952623149.6888,3981071705.53497,31622776601.6838,1e+10,12589254117.9417,7943282347.24282,3981071705.53497,1e+10,7943282347.24282,794328234.724282
"Atp5d",12589254117.9417,7943282347.24282,19952623149.6888,6309573444.80194,39810717055.3497,6309573444.80194,6309573444.80194,3162277660.16838,6309573444.80194,12589254117.9417,1e+10,6309573444.80194,6309573444.80194,3981071705.53497
"Isca2",251188643.150958,251188643.150958,501187233.627271,199526231.496888,630957344.480194,158489319.246111,79432823.4724282,15848931.9246111,501187233.627271,316227766.016838,251188643.150958,1e+08,316227766.016838,316227766.016838
"Pdhb",15848931924.6111,7943282347.24282,19952623149.6888,15848931924.6111,1e+10,3981071705.53497,31622776601.6838,6309573444.80194,25118864315.0958,6309573444.80194,7943282347.24282,7943282347.24282,1e+10,31622776601.6838
"Uqcrc1",12589254117.9417,3162277660.16838,7943282347.24282,7943282347.24282,25118864315.0958,1e+10,63095734448.0194,19952623149.6888,12589254117.9417,39810717055.3497,15848931924.6111,19952623149.6888,15848931924.6111,7943282347.24282
"Coq9",1995262314.96888,398107170.553497,794328234.724282,1e+09,1995262314.96888,1258925411.79417,6309573444.80194,398107170.553497,3162277660.16838,1584893192.46111,1584893192.46111,1258925411.79417,501187233.627271,630957344.480194
"Mrpl12",1584893192.46111,1258925411.79417,2511886431.50958,1e+09,3162277660.16838,1995262314.96888,794328234.724282,398107170.553497,1995262314.96888,1584893192.46111,6309573444.80194,1e+09,2511886431.50958,1e+09
"Mrps35",251188643.150958,1e+08,125892541.179417,6309573.44480193,158489319.246111,25118864.3150958,63095734.4480193,1e+08,316227766.016838,316227766.016838,630957344.480194,50118723.3627272,1e+09,125892541.179417
"Cox5a",25118864315.0958,15848931924.6111,39810717055.3497,19952623149.6888,1e+11,31622776601.6838,25118864315.0958,6309573444.80194,19952623149.6888,39810717055.3497,39810717055.3497,31622776601.6838,19952623149.6888,15848931924.6111
"Uqcrfs1",31622776601.6838,25118864315.0958,50118723362.7271,15848931924.6111,31622776601.6838,19952623149.6888,31622776601.6838,5011872336.27271,1e+10,15848931924.6111,12589254117.9417,1e+10,12589254117.9417,1e+10
"Coq7",501187233.627271,316227766.016838,501187233.627271,316227766.016838,794328234.724282,1e+09,398107170.553497,501187233.627271,630957344.480194,398107170.553497,1e+09,501187233.627271,199526231.496888,199526231.496888
"Sdha",25118864315.0958,7943282347.24282,31622776601.6838,19952623149.6888,1e+11,31622776601.6838,50118723362.7271,39810717055.3497,39810717055.3497,50118723362.7271,39810717055.3497,31622776601.6838,25118864315.0958,25118864315.0958
"Sdhb",7943282347.24282,3981071705.53497,7943282347.24282,1e+10,12589254117.9417,15848931924.6111,19952623149.6888,1584893192.46111,12589254117.9417,19952623149.6888,7943282347.24282,7943282347.24282,12589254117.9417,7943282347.24282
"Atp5a1",158489319246.111,63095734448.0194,158489319246.111,79432823472.4282,316227766016.838,1e+11,398107170553.497,125892541179.417,125892541179.417,251188643150.958,1e+11,199526231496.888,158489319246.111,31622776601.6838
"Sdhaf4",25059361.6813636,25059361.6813636,25059361.6813636,25059361.6813636,25059361.6813636,25059361.6813636,25059361.6813636,25059361.6813636,1e+08,25059361.6813636,25059361.6813636,25059361.6813636,25059361.6813636,50118723.3627272
"Pmpcb",1e+09,6309573.44480193,1258925411.79417,501187233.627271,6309573444.80194,501187233.627271,3981071705.53497,1e+08,1e+09,3981071705.53497,794328234.724282,1584893192.46111,2511886431.50958,1e+09
"Sdhd",630957344.480194,199526231.496888,316227766.016838,63095734.4480193,794328234.724282,398107170.553497,251188643.150958,199526231.496888,251188643.150958,794328234.724282,398107170.553497,316227766.016838,501187233.627271,794328234.724282
"Uqcrc2",31622776601.6838,1e+10,19952623149.6888,19952623149.6888,39810717055.3497,19952623149.6888,79432823472.4282,25118864315.0958,19952623149.6888,50118723362.7271,31622776601.6838,31622776601.6838,15848931924.6111,15848931924.6111
"Coq5",316227766.016838,199526231.496888,199526231.496888,1e+08,398107170.553497,1e+08,630957344.480194,158489319.246111,1e+09,1584893192.46111,630957344.480194,199526231.496888,63095734.4480193,31622776.6016838
"Ogdh",39810717055.3497,39810717055.3497,79432823472.4282,7943282347.24282,125892541179.417,7943282347.24282,63095734448.0194,79432823472.4282,39810717055.3497,63095734448.0194,50118723362.7271,50118723362.7271,31622776601.6838,25118864315.0958
"Uqcrq",7943282347.24282,3981071705.53497,7943282347.24282,3981071705.53497,15848931924.6111,6309573444.80194,6309573444.80194,1584893192.46111,6309573444.80194,1e+10,12589254117.9417,6309573444.80194,3981071705.53497,3162277660.16838
"Mdh2",125892541179.417,63095734448.0194,158489319246.111,79432823472.4282,79432823472.4282,39810717055.3497,251188643150.958,39810717055.3497,1e+11,199526231496.888,79432823472.4282,63095734448.0194,1e+11,39810717055.3497
"Dbt",316227766.016838,50118723.3627272,251188643.150958,251188643.150958,7943282347.24282,3981071705.53497,1584893192.46111,398107170.553497,6309573444.80194,1584893192.46111,1258925411.79417,7943282347.24282,1584893192.46111,794328234.724282
"Dlat",39810717055.3497,19952623149.6888,50118723362.7271,31622776601.6838,25118864315.0958,6309573444.80194,25118864315.0958,31622776601.6838,31622776601.6838,7943282347.24282,12589254117.9417,12589254117.9417,12589254117.9417,31622776601.6838
"Lrpprc",15848931924.6111,25118864315.0958,25118864315.0958,2511886431.50958,63095734448.0194,6309573444.80194,3981071705.53497,19952623149.6888,7943282347.24282,15848931924.6111,31622776601.6838,15848931924.6111,15848931924.6111,31622776601.6838
"Mrpl53",251188643.150958,158489319.246111,251188643.150958,125892541.179417,398107170.553497,398107170.553497,50118723.3627272,12589254.1179417,199526231.496888,398107170.553497,794328234.724282,158489319.246111,794328234.724282,251188643.150958
"Dlst",5011872336.27271,1995262314.96888,5011872336.27271,5011872336.27271,15848931924.6111,3981071705.53497,12589254117.9417,5011872336.27271,7943282347.24282,19952623149.6888,3981071705.53497,7943282347.24282,7943282347.24282,1995262314.96888
"Pdhx",1995262314.96888,501187233.627271,1995262314.96888,630957344.480194,1e+09,199526231.496888,3162277660.16838,1995262314.96888,2511886431.50958,501187233.627271,398107170.553497,794328234.724282,794328234.724282,1584893192.46111
"Gfm1",794328234.724282,630957344.480194,630957344.480194,794328234.724282,3981071705.53497,794328234.724282,199526231.496888,1e+09,1e+09,501187233.627271,1258925411.79417,501187233.627271,1584893192.46111,398107170.553497
"Grpel1",2511886431.50958,1584893192.46111,1995262314.96888,1e+09,3981071705.53497,3981071705.53497,1584893192.46111,1e+08,1995262314.96888,1995262314.96888,1584893192.46111,1e+09,6309573444.80194,1258925411.79417
"Mpc2",3981071705.53497,3162277660.16838,6309573444.80194,2511886431.50958,25118864315.0958,1e+10,3162277660.16838,3981071705.53497,3981071705.53497,3162277660.16838,1995262314.96888,3162277660.16838,1995262314.96888,1e+10
"Uqcr10",6309573444.80194,3162277660.16838,3981071705.53497,158489319.246111,1995262314.96888,1584893192.46111,398107170.553497,501187233.627271,794328234.724282,3162277660.16838,1e+07,1e+09,1e+09,1995262314.96888
