"","Pathway","Gene","Level"
"1","Mitochondrial central dogma","AARS2","Pathway_Level1"
"2","mtDNA maintenance","APEX1","Pathway_Level2"
"3","mtDNA replication","DNA2","Pathway_Level3"
"4","mtDNA nucleoid","ATAD3A","Pathway_Level3"
"5","mtDNA repair","APEX1","Pathway_Level3"
"6","mtDNA modifications","METTL4","Pathway_Level3"
"7","mtDNA stability and decay","ENDOG","Pathway_Level3"
"8","mtRNA metabolism","ALKBH1","Pathway_Level2"
"9","Transcription","MRPL12","Pathway_Level3"
"10","mtRNA granules","ALKBH1","Pathway_Level3"
"11","Polycistronic mtRNA processing","ELAC2","Pathway_Level3"
"12","mt-tRNA modifications","ALKBH1","Pathway_Level3"
"13","mt-rRNA modifications","METTL15","Pathway_Level3"
"14","mt-mRNA modifications","ANGEL2","Pathway_Level3"
"15","mtRNA stability and decay","ENDOG","Pathway_Level3"
"16","Translation","AARS2","Pathway_Level2"
"17","Mitochondrial ribosome","AURKAIP1","Pathway_Level3"
"18","Mitochondrial ribosome assembly","DDX28","Pathway_Level3"
"19","Translation factors","C12orf65","Pathway_Level3"
"20","mt-tRNA synthetases","AARS2","Pathway_Level3"
"21","fMet processing","METAP1D","Pathway_Level3"
"22","Protein import, sorting and homeostasis","AFG1L","Pathway_Level1"
"23","Protein import and sorting","AGK","Pathway_Level2"
"24","TOM","TOMM20","Pathway_Level3"
"25","SAM","MTX1","Pathway_Level3"
"26","MIA40","AIFM1","Pathway_Level3"
"27","TIM22 carrier pathway","AGK","Pathway_Level3"
"28","TIM23 presequence pathway","ROMO1","Pathway_Level3"
"29","Import motor","DNAJC15","Pathway_Level3"
"30","OXA","OXA1L","Pathway_Level3"
"31","Preprotein cleavage","IMMP1L","Pathway_Level3"
"32","Protein homeostasis","AFG1L","Pathway_Level2"
"33","Proteases","AFG1L","Pathway_Level3"
"34","Chaperones","DNAJA3","Pathway_Level3"
"35","OXPHOS","ACAD9","Pathway_Level1"
"36","OXPHOS subunits","ATP5F1A","Pathway_Level2"
"37","OXPHOS assembly factors","ACAD9","Pathway_Level2"
"38","Complex I","ACAD9","Pathway_Level2"
"39","CI subunits","MT-ND1","Pathway_Level3"
