"","Pathway","Gene","Level"
"1","Mitochondrial central dogma","2810006K23Rik","Pathway_Level1"
"2","mtDNA maintenance","Apex1","Pathway_Level2"
"3","mtDNA replication","Dna2","Pathway_Level3"
"4","mtDNA nucleoid","Atad3a","Pathway_Level3"
"5","mtDNA repair","Apex1","Pathway_Level3"
"6","mtDNA modifications","Mettl4","Pathway_Level3"
"7","mtDNA stability and decay","Endog","Pathway_Level3"
"8","mtRNA metabolism","Alkbh1","Pathway_Level2"
"9","Transcription","Mrpl12","Pathway_Level3"
"10","mtRNA granules","Alkbh1","Pathway_Level3"
"11","Polycistronic mtRNA processing","Elac2","Pathway_Level3"
"12","mt-tRNA modifications","Alkbh1","Pathway_Level3"
"13","mt-rRNA modifications","Mettl15","Pathway_Level3"
"14","mt-mRNA modifications","Angel2","Pathway_Level3"
"15","mtRNA stability and decay","Endog","Pathway_Level3"
"16","Translation","2810006K23Rik","Pathway_Level2"
"17","Mitochondrial ribosome","Aurkaip1","Pathway_Level3"
"18","Mitochondrial ribosome assembly","Ddx28","Pathway_Level3"
"19","Translation factors","2810006K23Rik","Pathway_Level3"
"20","mt-tRNA synthetases","Aars2","Pathway_Level3"
"21","fMet processing","Metap1d","Pathway_Level3"
"22","Protein import, sorting and homeostasis","Afg1l","Pathway_Level1"
"23","Protein import and sorting","Agk","Pathway_Level2"
"24","TOM","Tomm20","Pathway_Level3"
"25","SAM","Mtx1","Pathway_Level3"
"26","MIA40","Aifm1","Pathway_Level3"
"27","TIM22 carrier pathway","Agk","Pathway_Level3"
"28","TIM23 presequence pathway","Romo1","Pathway_Level3"
"29","Import motor","Dnajc15","Pathway_Level3"
"30","OXA","Oxa1l","Pathway_Level3"
"31","Preprotein cleavage","Immp1l","Pathway_Level3"
"32","Protein homeostasis","Afg1l","Pathway_Level2"
"33","Proteases","Afg1l","Pathway_Level3"
"34","Chaperones","Dnaja3","Pathway_Level3"
"35","OXPHOS","Acad9","Pathway_Level1"
"36","OXPHOS subunits","Atp5a1","Pathway_Level2"
"37","OXPHOS assembly factors","Acad9","Pathway_Level2"
"38","Complex I","Acad9","Pathway_Level2"
"39","CI subunits","mt-Nd1","Pathway_Level3"
"40","CI assembly factors","Acad9","Pathway_Level3"
"41","Complex II","Sdha","Pathway_Level2"
"42","CII subunits","Sdha","Pathway_Level3"
"43","CII assembly factors","Sdhaf1","Pathway_Level3"
"44","Complex III","Bcs1l","Pathway_Level2"
