RNAseq_sampleID,Condition,Pathway,score,Line,Study_part,Passage,Days_grown_Udays,Treatments,Clinical_condition
Sample_21,Control,Metabolism,85.40123216174932,hFB12,2,6,21.21,Control,Normal
Sample_21,Control,Amino acid metabolism,32.11390725619258,hFB12,2,6,21.21,Control,Normal
Sample_21,Control,Lysine metabolism,30.009215446175578,hFB12,2,6,21.21,Control,Normal
Sample_22,Control,Metabolism,83.45030020087279,hFB12,2,9,37.33,Control,Normal
Sample_22,Control,Amino acid metabolism,31.037920344058197,hFB12,2,9,37.33,Control,Normal
Sample_22,Control,Lysine metabolism,29.602354767279074,hFB12,2,9,37.33,Control,Normal
Sample_23,Control,Metabolism,89.08510913210678,hFB12,2,12,52.96,Control,Normal
Sample_23,Control,Amino acid metabolism,31.090379095244437,hFB12,2,12,52.96,Control,Normal
Sample_23,Control,Lysine metabolism,28.648608605050505,hFB12,2,12,52.96,Control,Normal
Sample_24,Control,Metabolism,87.22722850877628,hFB12,2,15,68.08,Control,Normal
Sample_24,Control,Amino acid metabolism,30.766037509507616,hFB12,2,15,68.08,Control,Normal
Sample_24,Control,Lysine metabolism,29.754281379197675,hFB12,2,15,68.08,Control,Normal
Sample_25,Control,Metabolism,92.68152201681215,hFB12,2,18,83.08,Control,Normal
Sample_25,Control,Amino acid metabolism,31.019543783077705,hFB12,2,18,83.08,Control,Normal
Sample_25,Control,Lysine metabolism,30.21977808707948,hFB12,2,18,83.08,Control,Normal
Sample_26,Control,Metabolism,89.9621772801804,hFB12,2,21,98.08,Control,Normal
Sample_26,Control,Amino acid metabolism,29.58269159031394,hFB12,2,21,98.08,Control,Normal
Sample_26,Control,Lysine metabolism,27.398538488768512,hFB12,2,21,98.08,Control,Normal
Sample_27,Control,Metabolism,86.19292980277521,hFB12,2,24,115,Control,Normal
Sample_27,Control,Amino acid metabolism,29.256477477729497,hFB12,2,24,115,Control,Normal
Sample_27,Control,Lysine metabolism,26.246973952149816,hFB12,2,24,115,Control,Normal
Sample_28,Control,Metabolism,89.06779315972753,hFB12,2,27,134.96,Control,Normal
Sample_28,Control,Amino acid metabolism,28.431110540950762,hFB12,2,27,134.96,Control,Normal
Sample_28,Control,Lysine metabolism,25.385873167854626,hFB12,2,27,134.96,Control,Normal
Sample_29,Control,Metabolism,79.71823582246266,hFB12,2,30,157.92,Control,Normal
Sample_29,Control,Amino acid metabolism,29.53108467089575,hFB12,2,30,157.92,Control,Normal
Sample_29,Control,Lysine metabolism,25.76191312740797,hFB12,2,30,157.92,Control,Normal
Sample_30,Control,Metabolism,84.30937993571617,hFB12,2,33,180.88,Control,Normal
Sample_30,Control,Amino acid metabolism,29.64389641084738,hFB12,2,33,180.88,Control,Normal
Sample_30,Control,Lysine metabolism,26.855041552294743,hFB12,2,33,180.88,Control,Normal
Sample_31,Control,Metabolism,78.35328631762967,hFB12,2,36,202,Control,Normal
Sample_31,Control,Amino acid metabolism,30.013232857898117,hFB12,2,36,202,Control,Normal
Sample_31,Control,Lysine metabolism,25.900585478365702,hFB12,2,36,202,Control,Normal
Sample_32,Control,Metabolism,78.87774485208807,hFB13,2,6,22.08,Control,Normal
Sample_32,Control,Amino acid metabolism,29.196935723093887,hFB13,2,6,22.08,Control,Normal
Sample_32,Control,Lysine metabolism,29.87106885399372,hFB13,2,6,22.08,Control,Normal
Sample_33,Control,Metabolism,76.45867504586427,hFB13,2,9,38.04,Control,Normal
Sample_33,Control,Amino acid metabolism,28.90073701685677,hFB13,2,9,38.04,Control,Normal
Sample_33,Control,Lysine metabolism,29.70239627408845,hFB13,2,9,38.04,Control,Normal
Sample_34,Control,Metabolism,80.07539599276299,hFB13,2,12,53.04,Control,Normal
Sample_34,Control,Amino acid metabolism,29.82388455578348,hFB13,2,12,53.04,Control,Normal
Sample_34,Control,Lysine metabolism,29.770526708979315,hFB13,2,12,53.04,Control,Normal
Sample_35,Control,Metabolism,80.74416389893723,hFB13,2,15,68.29,Control,Normal
Sample_35,Control,Amino acid metabolism,29.636100429766532,hFB13,2,15,68.29,Control,Normal
Sample_35,Control,Lysine metabolism,29.691812585628718,hFB13,2,15,68.29,Control,Normal
Sample_36,Control,Metabolism,83.49431465801098,hFB13,2,18,83.17,Control,Normal
Sample_36,Control,Amino acid metabolism,30.07124753396352,hFB13,2,18,83.17,Control,Normal
Sample_36,Control,Lysine metabolism,29.889990841623362,hFB13,2,18,83.17,Control,Normal
Sample_37,Control,Metabolism,90.9143381825915,hFB13,2,21,98.13,Control,Normal
Sample_37,Control,Amino acid metabolism,31.03071584127454,hFB13,2,21,98.13,Control,Normal
Sample_37,Control,Lysine metabolism,28.5820477009188,hFB13,2,21,98.13,Control,Normal
Sample_38,Control,Metabolism,94.34758760908518,hFB13,2,24,115.33,Control,Normal
Sample_38,Control,Amino acid metabolism,31.08067716718655,hFB13,2,24,115.33,Control,Normal
Sample_38,Control,Lysine metabolism,28.78453606998984,hFB13,2,24,115.33,Control,Normal
Sample_39,Control,Metabolism,91.60250769327536,hFB13,2,27,136.29,Control,Normal
Sample_39,Control,Amino acid metabolism,29.15690291095581,hFB13,2,27,136.29,Control,Normal
Sample_39,Control,Lysine metabolism,27.429231952091925,hFB13,2,27,136.29,Control,Normal
Sample_40,Control,Metabolism,95.44918660369301,hFB13,2,30,158.21,Control,Normal
Sample_40,Control,Amino acid metabolism,29.495801573766425,hFB13,2,30,158.21,Control,Normal
Sample_40,Control,Lysine metabolism,26.249047261324737,hFB13,2,30,158.21,Control,Normal
Sample_41,Control,Metabolism,94.95406013017232,hFB13,2,33,182.08,Control,Normal
Sample_41,Control,Amino acid metabolism,33.085365235932215,hFB13,2,33,182.08,Control,Normal
Sample_41,Control,Lysine metabolism,28.858265422340526,hFB13,2,33,182.08,Control,Normal
Sample_42,Control,Metabolism,96.02592272533836,hFB13,2,36,202.25,Control,Normal
Sample_42,Control,Amino acid metabolism,33.58088010899032,hFB13,2,36,202.25,Control,Normal
Sample_42,Control,Lysine metabolism,27.806251866859757,hFB13,2,36,202.25,Control,Normal
Sample_43,Control,Metabolism,67.78321048233244,hFB14,2,10,22.42,Control,Normal
Sample_43,Control,Amino acid metabolism,28.755902290576508,hFB14,2,10,22.42,Control,Normal
Sample_43,Control,Lysine metabolism,30.358623738579606,hFB14,2,10,22.42,Control,Normal
Sample_44,Control,Metabolism,74.83613635016063,hFB14,2,13,39.13,Control,Normal
Sample_44,Control,Amino acid metabolism,29.84720562974916,hFB14,2,13,39.13,Control,Normal
Sample_44,Control,Lysine metabolism,27.98217339552799,hFB14,2,13,39.13,Control,Normal
Sample_45,Control,Metabolism,72.02080446828762,hFB14,2,16,55.04,Control,Normal
Sample_45,Control,Amino acid metabolism,28.612469055606386,hFB14,2,16,55.04,Control,Normal
Sample_45,Control,Lysine metabolism,26.00410429156559,hFB14,2,16,55.04,Control,Normal
Sample_46,Control,Metabolism,79.5934262495058,hFB14,2,19,70.13,Control,Normal
Sample_46,Control,Amino acid metabolism,29.51408724565104,hFB14,2,19,70.13,Control,Normal
Sample_46,Control,Lysine metabolism,26.46079591933532,hFB14,2,19,70.13,Control,Normal
Sample_47,Control,Metabolism,83.14888477223498,hFB14,2,22,85.08,Control,Normal
Sample_47,Control,Amino acid metabolism,30.071551145727852,hFB14,2,22,85.08,Control,Normal
Sample_47,Control,Lysine metabolism,25.81619015304438,hFB14,2,22,85.08,Control,Normal
Sample_48,Control,Metabolism,84.38814542286848,hFB14,2,25,100.29,Control,Normal
Sample_48,Control,Amino acid metabolism,30.445224723149153,hFB14,2,25,100.29,Control,Normal
Sample_48,Control,Lysine metabolism,26.054121315008135,hFB14,2,25,100.29,Control,Normal
Sample_49,Control,Metabolism,91.97343213028967,hFB14,2,31,140.38,Control,Normal
Sample_49,Control,Amino acid metabolism,27.437641510401175,hFB14,2,31,140.38,Control,Normal
Sample_49,Control,Lysine metabolism,25.238848261866988,hFB14,2,31,140.38,Control,Normal
Sample_21,Control,Mitochondrial central dogma,22.49454635541318,hFB12,2,6,21.21,Control,Normal
Sample_21,Control,Translation,23.48343660854047,hFB12,2,6,21.21,Control,Normal
Sample_21,Control,mt-tRNA synthetases,41.14824553533869,hFB12,2,6,21.21,Control,Normal
Sample_22,Control,Mitochondrial central dogma,21.699503187447423,hFB12,2,9,37.33,Control,Normal
Sample_22,Control,Translation,22.55819749090839,hFB12,2,9,37.33,Control,Normal
Sample_22,Control,mt-tRNA synthetases,39.75328630735237,hFB12,2,9,37.33,Control,Normal
Sample_23,Control,Mitochondrial central dogma,21.040441919812537,hFB12,2,12,52.96,Control,Normal
Sample_23,Control,Translation,21.98423895559691,hFB12,2,12,52.96,Control,Normal
Sample_23,Control,mt-tRNA synthetases,39.080199835628754,hFB12,2,12,52.96,Control,Normal
Sample_24,Control,Mitochondrial central dogma,20.89592411215993,hFB12,2,15,68.08,Control,Normal
Sample_24,Control,Translation,21.961561208287566,hFB12,2,15,68.08,Control,Normal
Sample_24,Control,mt-tRNA synthetases,38.62825158385168,hFB12,2,15,68.08,Control,Normal
Sample_25,Control,Mitochondrial central dogma,20.321096353033735,hFB12,2,18,83.08,Control,Normal
Sample_25,Control,Translation,21.37732714058929,hFB12,2,18,83.08,Control,Normal
Sample_25,Control,mt-tRNA synthetases,36.14111237876826,hFB12,2,18,83.08,Control,Normal
Sample_26,Control,Mitochondrial central dogma,20.00960512804407,hFB12,2,21,98.08,Control,Normal
Sample_26,Control,Translation,20.796084562011966,hFB12,2,21,98.08,Control,Normal
Sample_26,Control,mt-tRNA synthetases,34.21898773722987,hFB12,2,21,98.08,Control,Normal
