Gene,Cerebrum,Cerebellum,Brainstem,Spinal cord,Kidney,Liver,Heart,Skeletal muscle,Adipose,Small intestine,Large intestine,Stomach,Placenta,Testis
Cyc1,19952623149.688828,12589254117.941662,25118864315.09582,15848931924.611109,15848931924.611109,10000000000,25118864315.09582,6309573444.801943,12589254117.941662,15848931924.611109,15848931924.611109,10000000000,10000000000,6309573444.801943
Pdha1,12589254117.941662,3981071705.5349693,10000000000,10000000000,19952623149.688828,3981071705.5349693,31622776601.683792,10000000000,12589254117.941662,7943282347.242822,3981071705.5349693,10000000000,7943282347.242822,794328234.7242821
Atp5d,12589254117.941662,7943282347.242822,19952623149.688828,6309573444.801943,39810717055.34969,6309573444.801943,6309573444.801943,3162277660.1683793,6309573444.801943,12589254117.941662,10000000000,6309573444.801943,6309573444.801943,3981071705.5349693
Isca2,251188643.1509582,251188643.1509582,501187233.6272715,199526231.49688828,630957344.4801943,158489319.2461111,79432823.47242822,15848931.924611142,501187233.6272715,316227766.01683795,251188643.1509582,100000000,316227766.01683795,316227766.01683795
Pdhb,15848931924.611109,7943282347.242822,19952623149.688828,15848931924.611109,10000000000,3981071705.5349693,31622776601.683792,6309573444.801943,25118864315.09582,6309573444.801943,7943282347.242822,7943282347.242822,10000000000,31622776601.683792
Uqcrc1,12589254117.941662,3162277660.1683793,7943282347.242822,7943282347.242822,25118864315.09582,10000000000,63095734448.019424,19952623149.688828,12589254117.941662,39810717055.34969,15848931924.611109,19952623149.688828,15848931924.611109,7943282347.242822
Coq9,1995262314.9688828,398107170.5534969,794328234.7242821,1000000000,1995262314.9688828,1258925411.794166,6309573444.801943,398107170.5534969,3162277660.1683793,1584893192.4611108,1584893192.4611108,1258925411.794166,501187233.6272715,630957344.4801943
Mrpl12,1584893192.4611108,1258925411.794166,2511886431.509582,1000000000,3162277660.1683793,1995262314.9688828,794328234.7242821,398107170.5534969,1995262314.9688828,1584893192.4611108,6309573444.801943,1000000000,2511886431.509582,1000000000
Mrps35,251188643.1509582,100000000,125892541.17941661,6309573.44480193,158489319.2461111,25118864.315095823,63095734.448019296,100000000,316227766.01683795,316227766.01683795,630957344.4801943,50118723.36272725,1000000000,125892541.17941661
Cox5a,25118864315.09582,15848931924.611109,39810717055.34969,19952623149.688828,100000000000,31622776601.683792,25118864315.09582,6309573444.801943,19952623149.688828,39810717055.34969,39810717055.34969,31622776601.683792,19952623149.688828,15848931924.611109
Uqcrfs1,31622776601.683792,25118864315.09582,50118723362.72715,15848931924.611109,31622776601.683792,19952623149.688828,31622776601.683792,5011872336.272715,10000000000,15848931924.611109,12589254117.941662,10000000000,12589254117.941662,10000000000
Coq7,501187233.6272715,316227766.01683795,501187233.6272715,316227766.01683795,794328234.7242821,1000000000,398107170.5534969,501187233.6272715,630957344.4801943,398107170.5534969,1000000000,501187233.6272715,199526231.49688828,199526231.49688828
Sdha,25118864315.09582,7943282347.242822,31622776601.683792,19952623149.688828,100000000000,31622776601.683792,50118723362.72715,39810717055.34969,39810717055.34969,50118723362.72715,39810717055.34969,31622776601.683792,25118864315.09582,25118864315.09582
Sdhb,7943282347.242822,3981071705.5349693,7943282347.242822,10000000000,12589254117.941662,15848931924.611109,19952623149.688828,1584893192.4611108,12589254117.941662,19952623149.688828,7943282347.242822,7943282347.242822,12589254117.941662,7943282347.242822
Atp5a1,158489319246.11108,63095734448.019424,158489319246.11108,79432823472.42822,316227766016.83795,100000000000,398107170553.49695,125892541179.41661,125892541179.41661,251188643150.95822,100000000000,199526231496.88828,158489319246.11108,31622776601.683792
Sdhaf4,25059361.681363624,25059361.681363624,25059361.681363624,25059361.681363624,25059361.681363624,25059361.681363624,25059361.681363624,25059361.681363624,100000000,25059361.681363624,25059361.681363624,25059361.681363624,25059361.681363624,50118723.36272725
Pmpcb,1000000000,6309573.44480193,1258925411.794166,501187233.6272715,6309573444.801943,501187233.6272715,3981071705.5349693,100000000,1000000000,3981071705.5349693,794328234.7242821,1584893192.4611108,2511886431.509582,1000000000
Sdhd,630957344.4801943,199526231.49688828,316227766.01683795,63095734.448019296,794328234.7242821,398107170.5534969,251188643.1509582,199526231.49688828,251188643.1509582,794328234.7242821,398107170.5534969,316227766.01683795,501187233.6272715,794328234.7242821
Uqcrc2,31622776601.683792,10000000000,19952623149.688828,19952623149.688828,39810717055.34969,19952623149.688828,79432823472.42822,25118864315.09582,19952623149.688828,50118723362.72715,31622776601.683792,31622776601.683792,15848931924.611109,15848931924.611109
Coq5,316227766.01683795,199526231.49688828,199526231.49688828,100000000,398107170.5534969,100000000,630957344.4801943,158489319.2461111,1000000000,1584893192.4611108,630957344.4801943,199526231.49688828,63095734.448019296,31622776.60168379
Ogdh,39810717055.34969,39810717055.34969,79432823472.42822,7943282347.242822,125892541179.41661,7943282347.242822,63095734448.019424,79432823472.42822,39810717055.34969,63095734448.019424,50118723362.72715,50118723362.72715,31622776601.683792,25118864315.09582
Uqcrq,7943282347.242822,3981071705.5349693,7943282347.242822,3981071705.5349693,15848931924.611109,6309573444.801943,6309573444.801943,1584893192.4611108,6309573444.801943,10000000000,12589254117.941662,6309573444.801943,3981071705.5349693,3162277660.1683793
