Pathway,Gene
Mitochondrial central dogma,AARS2
mtDNA maintenance,APEX1
mtDNA replication,DNA2
mtDNA nucleoid,ATAD3A
mtDNA repair,APEX1
mtDNA modifications,METTL4
mtDNA stability and decay,ENDOG
mtRNA metabolism,ALKBH1
Transcription,MRPL12
mtRNA granules,ALKBH1
Polycistronic mtRNA processing,ELAC2
mt-tRNA modifications,ALKBH1
mt-rRNA modifications,METTL15
mt-mRNA modifications,ANGEL2
mtRNA stability and decay,ENDOG
Translation,AARS2
Mitochondrial ribosome,AURKAIP1
Mitochondrial ribosome assembly,DDX28
Translation factors,C12orf65
mt-tRNA synthetases,AARS2
fMet processing,METAP1D
"Protein import, sorting and homeostasis",AFG1L
Protein import and sorting,AGK
TOM,TOMM20
SAM,MTX1
MIA40,AIFM1
TIM22 carrier pathway,AGK
TIM23 presequence pathway,ROMO1
Import motor,DNAJC15
OXA,OXA1L
Preprotein cleavage,IMMP1L
Protein homeostasis,AFG1L
Proteases,AFG1L
Chaperones,DNAJA3
OXPHOS,ACAD9
OXPHOS subunits,ATP5F1A
OXPHOS assembly factors,ACAD9
Complex I,ACAD9
CI subunits,MT-ND1
CI assembly factors,ACAD9
Complex II,SDHA
CII subunits,SDHA
CII assembly factors,SDHAF1
Complex III,BCS1L
CIII subunits,CYC1
CIII assembly factors,BCS1L
Complex IV,CEP89
CIV subunits,COX4I1
CIV assembly factors,CEP89
Complex V,ATP5F1A
CV subunits,ATP5F1A
CV assembly factors,ATPAF1
Respirasome assembly,COX7A2L
Cytochrome C,CYCS
Metabolism,AADAT
Carbohydrate metabolism,ABHD11
Gluconeogenesis,MDH2
Malate-aspartate shuttle,GOT2
Glycerol phosphate shuttle,GPD2
Pyruvate metabolism,DLAT
TCA cycle,ACO2
TCA-associated,ABHD11
Itaconate metabolism,ACOD1
Ketone metabolism,ACAA2
Propanoate metabolism,MCEE
Lipid metabolism,ACAA1
Fatty acid oxidation,ACAA2
Type II fatty acid synthesis,ACACA
Lipoate insertion,GCSH
Cardiolipin synthesis,AGPAT4
"Cholesterol, bile acid, steroid synthesis",CYP11A1
Cholesterol-associated,FDPS
Phospholipid metabolism,ACP6
Eicosanoid metabolism,MGST3
Amino acid metabolism,AADAT
Branched-chain amino acid metabolism,ACAD8
Branched-chain amino acid dehydrogenase complex,BCKDHA
Lysine metabolism,AADAT
Serine metabolism,AGXT
Glycine metabolism,ALDH7A1
Glycine cleavage system,AMT
Glutamate metabolism,GLS
Proline metabolism,ALDH18A1
Glyoxylate metabolism,AGXT
GABA metabolism,ABAT
Catechol metabolism,COMT
Kynurenine metabolism,GOT2
Urea cycle,CA5A
Nucleotide metabolism,AK2
Nucleotide import,SLC25A23
Nucleotide synthesis and processing,AK2
Creatine metabolism,CKMT1A
Metals and cofactors,ABAT
